cord_uid,type,sentence,sentence_tagged
drg733k9,full_text,59,indigotica//FW hairy//JJ root//NNS sample//NN mg//NN freeze//VB dry//VBN c//NN ground//NN powder//NN 
drg733k9,full_text,60,subsequently//RB sample//NN extract//VBN methanol//NN sonication//NN min//NN twice//RB 
drg733k9,full_text,61,extraction//NN dilute//VBN ml//NN total//JJ volume//NN filter//VBD organic//JJ membrane//NN store//NN c//NN analysis//NN 
drg733k9,full_text,62,concentration//NN metabolite//NNS determine//VBN mass//NN spectrometer//NN Agilent//NNP Agilent//NNP Santa//NNP Clara//NNP equip//VBD pump//NN Agilent//NNP Agilent//NNP autosampler//NN Agilent//NNP Agilent//NNP 
drg733k9,full_text,63,chromatography//NN separation//NN perform//VBN agilent//JJ ZORBAS//NNP column//NN mm//NN mm//NNP μm//NN particle//NN size//NN 
drg733k9,full_text,64,mobile//JJ phase//NN consist//VBG acetonitrile//NN methanol//NN flow//NN rate//NN set//VBN ml//NN min//NN run//JJ time//NN 
drg733k9,full_text,65,multiple//JJ reaction//NNS monitoring//NN mrm//NN mode//NN quantification//NN select//VBN transition//NNS coniferin//NN lariciresinol//NN secoisolariciresinol//NN mataireisnol//NN pinoresinol//NN coniferyl//NN alcohol//NN secoisolariciresinol//NN diglucoside//NN kaempferol//NN quercetin//NN isorhamnetin//NN 
drg733k9,full_text,66,standard//NNS lariciresinol//NN pinoresinol//NN prepare//VBN laboratory//NN standard//NNS purchase//VBN Louis//NNP mo//NN 
drg733k9,full_text,67,root//NNS leave//NNS harvest//VBN plantlet//NNS indigotica//NN 
drg733k9,full_text,68,sample//NNS dry//VBN c//NN constant//JJ weight//NN powder//VBD extraction//NN 
drg733k9,full_text,69,powdered//JJ sample//NN mg//NN extract//VBN solvent//NN methanol//NN reflux//NN extraction//NN method//NN c//NN time//NNS concentrate//VBN chemical//NN analysis//NN perform//VBN liquid//NN chromatography//NN system//NN UPLC//NNP Agilent//NNP Agilent//NNP Technologies//NNP Waldbronn//NNP Germany//NNP fit//VBD Agilent//NNP uhd//NN Agilent//NNP Technologies//NNP Santa//NNP Clara//NNP usa//NN equip//VBD ESI//NNP interface//NN 
drg733k9,full_text,70,chromatographic//JJ separation//NN compound//NNS achieve//VBN Agilent//NNP Eclipse//NNP plus//CC column//NN mm//NN μm//NN binary//JJ gradient//NN mode//NN flow//NN rate//NN 
drg733k9,full_text,71,column//NN oven//JJ auto//NN sampler//NN temperature//NNS maintain//VBN c//NN c//NN respectively//RB 
drg733k9,full_text,72,column//NN temperature//NN hold//VBN c//NN sample//NN injection//NN volume//NN scan//NN mass//NN spectrum//NNS measure//VBN scan//JJ range//NN amu//NN scan//JJ resolution//NN 
drg733k9,full_text,73,spectrum//NNS acquire//VBN positive//JJ negative//JJ ionization//NN mode//NNS 
drg733k9,full_text,74,data//NN analysis//NN perform//VBN Agilent//NNP Mass//NNP Hunter//NNP Workstation//NNP software//NN 
drg733k9,full_text,75,target//NN compound//NNS identify//VBN product//NN ion//NN spectrum//NN positive//JJ negative//JJ ion//NN mode//NNS 
drg733k9,full_text,76,extract//VBN fragment//NN mass//NN ion//NNS target//NN compound//NNS follow//VBZ kaempferol//NN m//NN h//NN 
drg733k9,full_text,77,quercetin//NN m//NN 
drg733k9,full_text,78,m//NN 
drg733k9,full_text,79,m//NN 
drg733k9,full_text,80,m//NN 
drg733k9,full_text,81,m//NN 
drg733k9,full_text,82,m//NN 
drg733k9,full_text,83,analysis//NNS perform//VBN Gene//NNP Search//NNP algorithm//NN riken//NN prime//NN website//NN 
drg733k9,full_text,84,total//NN Arabidopsis//NNP gene//NNS high//JJS homology//NN indigotica//NN ugt//NNS collect//VBN query//NN gene//NNS additional//JJ file//NN 
drg733k9,full_text,85,relationship//NNS gene//NNS exhibit//VBD correlation//NN coefficient//NNS query//NN gene//NNS graph//NN depict//VBN Pajek//NNP program//NN 
drg733k9,full_text,86,phylogenetic//JJ relationship//NNS analyze//VBN mega//NN version//NN 
drg733k9,full_text,87,Poisson//NNP correction//NN parameter//NN pair//VB wise//JJ deletion//NNS gap//NNS apply//VBN 
drg733k9,full_text,88,reliability//NN branching//NN assess//VBN bootstrap//NN method//NN bootstrap//NN replication//NNS 
drg733k9,full_text,89,pyrosequencing//NN technology//NN Roche//NNP GS//NNP FLX//NNP employ//VBN sequence//VB transcriptome//NN indigotica//NN 
drg733k9,full_text,90,achieve//VB maximized//JJ abundance//NN contig//NNS total//JJ rna//NN indigotica//NN root//NNS stem//VBZ leave//NNS flower//NNS extract//VBN respectively//RB mix//VBN 
drg733k9,full_text,91,normalize//VBN cdna//NN library//NN construct//VBN μg//NN total//JJ rna//NN sequence//VBN pyrosequencing//NN technology//NN 
drg733k9,full_text,92,completely//RB sequence//VBN run//NN produce//VBD read//NNS average//JJ length//NN bp//NN 
drg733k9,full_text,93,order//NN maximize//VB sequence//NN diversity//NN additional//JJ solexa//NN sequencing//NN illumina//NN employ//VBN 
drg733k9,full_text,94,process//NN afford//VBD read//NNS length//NN bp//NN figure//NN 
drg733k9,full_text,95,solexa//NN read//NNS combine//VBN assembly//NN trinity//NN 
drg733k9,full_text,96,assembly//NN unigene//NNS average//JJ length//NN bp//NN generate//VBN additional//JJ file//NN 
drg733k9,full_text,97,compare//VBN assembly//NN read//NNS number//NN average//JJ length//NN unigene//NNS significantly//RB promote//VBN additional//JJ file//NN table//JJ respectively//RB 
drg733k9,full_text,98,result//NN orf//NN prediction//NN carry//VBN website//NN Trinity//NNP unigene//NNS predict//VBN contain//VB orf//NN region//NN 
drg733k9,full_text,99,annotation//NN transcriptome//NN carry//VBN generate//VB transcriptome//JJ database//NN indigotica//NN 
drg733k9,full_text,100,total//NN orf//NNS align//VBN public//JJ protein//NN database//VBZ Blastp//NNP 
drg733k9,full_text,101,alignment//NN unigene//NNS orf//NN prediction//NNS subject//VBN Blastx//NNS 
drg733k9,full_text,102,unigene//NNS search//VBN public//JJ database//NNS nr//NN Nt//NNP string//NN kegg//NN 
drg733k9,full_text,103,finally//RB total//NN annotate//VBN manner//NN 
drg733k9,full_text,104,demonstrate//VB functional//JJ distribution//NN unigene//NNS cog//NN kegg//NN analysis//NN subject//VBN function//NN prediction//NN classification//NN 
drg733k9,full_text,105,result//NN total//NN unigene//NNS map//VBN term//NNS 
drg733k9,full_text,106,assignment//NNS give//VBN biological//JJ process//NNS molecular//JJ function//NNS cellular//JJ component//NNS additional//JJ file//NN 
drg733k9,full_text,107,term//NNS vast//JJ majority//NN related//JJ cell//NN component//NNS binding//NN cellular//JJ process//NN metabolic//JJ process//NNS 
drg733k9,full_text,108,addition//NN unigene//NNS map//VBN record//NNS cog//NN database//NN cog//NN annotation//NNS retrieve//VBN 
drg733k9,full_text,109,overall//RB putative//JJ protein//NNS functionally//RB classify//VBN protein//NN family//NNS additional//JJ file//NN 
drg733k9,full_text,110,cluster//NN general//JJ function//NN prediction//NN represent//VBD large//JJS group//NN 
drg733k9,full_text,111,finally//RB kegg//NN pathway//NN analysis//NN perform//VBN assign//VB biological//JJ pathway//NNS unigene//NNS 
drg733k9,full_text,112,total//NN unigene//NNS assign//VBN kegg//NN pathway//NNS additional//JJ file//NN 
drg733k9,full_text,113,accord//VBG analysis//NN unigene//NNS assign//VBN secondary//JJ metabolite//NN biosynthesis//NN gene//NNS involve//VBN synthesis//NN active//JJ compound//NNS include//VBN 
drg733k9,full_text,114,accord//VBG composition//NN known//JJ active//JJ compound//NNS indigotica//NN putative//JJ synthetic//JJ pathway//NNS compound//NNS describe//VBN present//VB synthetic//JJ characteristic//NNS chemical//JJ composition//NN indigotica//NN 
drg733k9,full_text,115,unigene//NNS indole//NNS terpenoid//NNS phenylpropanoid//NNS identify//VBN current//JJ transcriptome//NN assembly//NN computational//JJ approach//NN 
drg733k9,full_text,116,indole//JJ alkaloid//NNS derive//VBN metabolism//NN tryptophan//NN diverse//JJ alkaloid//NNS class//NN indigotica//NN figure//NN 
drg733k9,full_text,117,total//NN unigene//NNS related//JJ tryptophan//NN metabolism//NN annotate//VBN include//VBG unigene//NNS code//VBG enzyme//NNS catalyze//VBD synthesis//NN indican//JJ glucose//NN 
drg733k9,full_text,118,indole//NN derivative//NNS report//VBN indigotica//NN biosynthesis//NN gene//NNS unable//JJ identify//VBN limited//JJ information//NN downstream//JJ biosynthetic//JJ pathway//NNS plant//NNS 
drg733k9,full_text,119,expression//NN characteristic//NNS synthetic//JJ pathway//NN gene//NNS reveal//VBD biosynthesis//NN accumulation//NN pattern//NNS catalysate//NN 
drg733k9,full_text,120,expression//NN pattern//NN gene//NNS include//VBG methyl//NN methyl//NN transferase//NN gene//NNS iamt//NN aromatic//JJ amino//NN acid//NN decarboxylase//NN gene//NNS ddc//NN yucca//JJ monooxygenase//NN gene//NNS yucca//NN indole//JJ pyruvate//NN decarboxylase//NN gene//NNS ipdc//NN examine//VBN figure//NN 
drg733k9,full_text,121,expression//NN level//NNS gene//NN root//NNS leave//NNS detect//VBN active//JJ compound//NNS indigotica//NN accumulate//VBN 
drg733k9,full_text,122,result//NNS show//VBD indole//JJ biosynthetic//JJ gene//NNS superior//JJ expression//NN level//NNS leave//NNS suggest//VBG leave//NNS primary//JJ site//NN indole//JJ biosynthesis//NN accumulation//NN 
drg733k9,full_text,123,indole//JJ precursor//NN report//VBN synthesize//VBN store//VBN young//JJ leave//NNS 
drg733k9,full_text,124,expression//NN characteristic//NNS synthetic//JJ gene//NNS reflection//NN accumulation//NN pattern//NN indole//JJ alkaloid//NNS 
drg733k9,full_text,125,meja//NN improve//VBG accumulation//NN secondary//JJ metabolite//NNS 
drg733k9,full_text,126,investigate//VB indole//JJ biosynthetic//JJ pathway//NNS respond//VBP meja//NN expression//NN pattern//NN relative//JJ gene//NNS detect//VBN indigotica//NN hairy//JJ root//NNS figure//NN 
drg733k9,full_text,127,expression//NN detect//VBN gene//NNS depress//VBN meja//NN 
drg733k9,full_text,128,unigene//NNS 
drg733k9,full_text,129,addition//NN obvious//JJ change//NNS transcription//NN detect//VBN indigotica//FW hairy//JJ root//NNS 
drg733k9,full_text,130,sterol//NNS major//JJ effective//JJ terpenoid//NNS indigotica//NN 
drg733k9,full_text,131,biosynthesis//NN initiate//VBN synthesis//NN isopentenyldiphosphate//JJ ipp//NN 
drg733k9,full_text,132,putative//JJ biosynthetic//JJ pathway//NN terpenoid//NNS indigotica//NN show//VBN figure//NN 
drg733k9,full_text,133,total//NN unigene//NNS relate//VBG enzyme//NNS lead//VBN synthesis//NN ipp//NN dimethylallyldiphosphate//NN dmapp//NN identify//VBN 
drg733k9,full_text,134,secologanin//NN core//NN structure//NN terpenoid//JJ indole//NN alkaloid//NNS 
drg733k9,full_text,135,secologanin//NN synthetic//JJ gene//NNS include//VBG gene//NN mtdp//NN gene//NN identify//VBN indigotica//NN transcriptome//NN 
drg733k9,full_text,136,result//NN indicate//VBD absence//NN low//JJ transcription//NN level//NN monoterpenoid//NNS synthesis//NN indigotica//NN 
drg733k9,full_text,137,expression//NN pattern//NN terpenoid//JJ related//JJ unigene//NNS obvious//JJ regularity//NN 
drg733k9,full_text,138,significant//JJ differential//JJ expression//NN pattern//NN member//NNS synthase//NN dxs//NN reductoisomerase//NN dxr//NN geranylgeranyl//JJ diphosphate//NN synthase//NN ggpps//NN transferase//NN aact//NN multiple//JJ gene//NN family//NNS observe//VBN 
drg733k9,full_text,139,GGPPS//NNP unigene//NNS show//VBD high//JJR expression//NN level//NNS leave//NNS remainder//NN gene//NNS mainly//RB express//VBN root//NNS figure//NN 
drg733k9,full_text,140,result//NNS suggest//VBD complex//JJ biosynthesis//NN accumulation//NN different//JJ terpenoid//NNS indigotica//NN 
drg733k9,full_text,141,expression//NN unigene//NNS belong//VBG DXS//NNP dxr//NN ggps//NN ggpps//NN reductase//NN gene//NN hmgr//NN aact//NN family//NNS detect//VBN induction//NN meja//NN 
drg733k9,full_text,142,gene//NNS show//VBD significantly//RB different//JJ response//NN pattern//NNS undetectable//JJ indigotica//FW hairy//JJ root//NNS figure//NN 
drg733k9,full_text,143,transcription//NN dxs//NNS dxr//NNS contrast//NN inhibit//VBN expression//NN ggpps//NN gene//NNS 
drg733k9,full_text,144,ggpps//NN gene//NNS respond//VBD meja//NN opposite//JJ pattern//NN 
drg733k9,full_text,145,regulate//VBN show//VBD negative//JJ response//NN 
drg733k9,full_text,146,lignan//NNS flavonoid//NNS major//JJ class//NNS phenylpropanoid//NNS indigotica//NN 
drg733k9,full_text,147,total//NN unigene//NNS encode//VBG enzyme//NNS involve//VBN biosynthesis//NN pathway//NN lignan//NNS flavonoid//NNS figure//NN 
drg733k9,full_text,148,composition//NN lignan//NNS flavonoid//NNS enrich//VBN glycoslation//NN catalyze//VBN multiple//JJ ugt//NNS 
drg733k9,full_text,149,far//RB ugt//NNS involve//VBN designate//VBN precise//JJ functional//JJ description//NN plant//NN 
drg733k9,full_text,150,flavonoid//NNS lignan//NN correlate//VBD ugt//NNS identify//VBN accord//VBG sequence//NN identity//NN report//VBN ugt//NNS 
drg733k9,full_text,151,noteworthy//JJ putative//JJ stilbene//NN synthase//NN gene//NNS sts//NN identify//VBN respectively//RB 
drg733k9,full_text,152,unigene//NNS show//VBD high//JJ similarity//NN chalcone//NN synthase//NN gene//NNS chs//NN 
drg733k9,full_text,153,sts//NN chs//NN belong//VBP family//NN type//NN iii//CD polyketide//NN synthase//NNS 
drg733k9,full_text,154,residue//NNS critical//JJ activity//NN distinction//NN 
drg733k9,full_text,155,investigation//NNS function//NN unigene//NNS stilbene//NN metabolite//NNS need//VBN identification//NN gene//NNS 
drg733k9,full_text,156,isoflavone//NN synthase//NN gene//NN ifs//NN lead//VBZ isoflavonoid//NNS synthesis//NN identify//VBN 
drg733k9,full_text,157,expression//NN pattern//NN fourteen//CD unigen//NNS examine//VBN figure//NN 
drg733k9,full_text,158,show//VBD superior//JJ transcription//NN level//NNS root//NNS chs//NN involve//VBN flavonoid//JJ biosynthesis//NN branch//NN figure//NN 
drg733k9,full_text,159,result//NNS suggest//VBD high//JJR accumulation//NN flavonoid//NNS leave//NNS 
drg733k9,full_text,160,meja//NN report//VBN activate//VB general//JJ downstream//JJ aspect//NNS phenylpropanoid//JJ biosynthesis//NN pathway//NN 
drg733k9,full_text,161,consistent//JJ Arabidopsis//NNP expression//NN phenylpropanoid//JJ biosynthesis//NN gene//NNS indigotica//NN meja//NN different//JJ degree//NN figure//NN 
drg733k9,full_text,162,result//NN suggest//VBD meja//NN induction//NN improve//VB accumulation//NN phenylpropanoid//NNS indigotica//NN 
drg733k9,full_text,163,transcript//NN detect//VBN indigotica//FW hairy//JJ root//NNS 
drg733k9,full_text,164,transcription//NN level//NN reveal//VBD accumulation//NN related//JJ metabolite//NNS increase//VB meja//NN induction//NN 
drg733k9,full_text,165,discuss//VB correlation//NN meja//NN induce//VBD transcription//NN metabolite//NNS accumulation//NN pattern//NN phenylpropanoid//NNS include//VBG lignan//NNS flavonoid//NNS additional//JJ file//NN table//JJ meja//NN treat//VBD indigotica//NN hairy//JJ root//NNS examine//VBN mass//NN spectrometer//NN 
drg733k9,full_text,166,content//NN target//NN component//NNS meja//NN treatment//NN h//NN h//NN compare//VBN control//NN 
drg733k9,full_text,167,average//JJ content//NN biological//JJ replicate//NNS present//VBN Figure//NNP 
drg733k9,full_text,168,isorhamnetin//NN detect//VBN control//NN strain//NN hairy//JJ root//NNS line//NN datum//NNS show//VBN 
drg733k9,full_text,169,content//NN isorhamnetion//NN discuss//VBN 
drg733k9,full_text,170,show//VBN Figure//NNP detect//VBN component//NNS show//VBD increase//VBN accumulation//NN different//JJ level//NN meja//NN induction//NN 
drg733k9,full_text,171,accumulation//NN coniferin//NN coniferin//NN alcohol//NN pinoresinol//NN lariciresinol//NN mataireisnol//NN kaempferol//NN increase//VBD significantly//RB h//NN treatment//NN 
drg733k9,full_text,172,result//NN show//VBD phenlyopropanoid//NNS synthesis//NN activate//VBN meja//NN correspond//VBG transcriptional//JJ variation//NN indicate//VBD accumaltion//NN pattern//NN secondary//JJ product//NNS correlate//VBN transcription//NN biosynthetic//JJ gene//NNS 
drg733k9,full_text,173,synthetic//JJ gene//NNS specific//JJ gene//NN family//NNS enrich//VBP diversity//NN secondary//JJ metabolite//NNS ugt//NN family//NN 
drg733k9,full_text,174,ugt//NNS catalyze//VBP transfer//NN glycosyl//NN group//NN nucleoside//NN sugar//NNS diverse//JJ array//NN secondary//JJ metabolite//NNS 
