cord_uid,abbreviation,full_definition
lref2wap,AMPs,"Anti-microbial peptides"
lref2wap,IL-1β,"interleukin-1β"
lref2wap,RTD-1,"rhesus peptide θ-defensin-1"
4fp34pbh,HCoV,"human coronaviruses"
4fp34pbh,PEDV,"porcine epidemic diarrhoea virus"
4fp34pbh,aa,"amino acid"
4fp34pbh,RdRp,"RNA-dependent RNA polymerase"
4fp34pbh,TMRCA,"the most recent common ancestor"
4fp34pbh,PLpro,"papain-like proteinase"
4fp34pbh,ACE2,"angiotensin converting enzyme 2"
4fp34pbh,models,"models"
4fp34pbh,MCMC,"Markov chain Monte Carlo"
bnygobxg,be,"been"
c1r10fy6,IDV,"Influenza D virus"
c1r10fy6,IDV,"influenza D virus"
c1r10fy6,HI,"Hemagglutination Inhibition"
c1r10fy6,BPI-3,"bovine parainfluenza virus type 3"
c1r10fy6,BCoV,"bovine coronavirus"
agm4zbcx,FIP,"feline infectious peritonitis"
agm4zbcx,FCoV,"Feline coronavirus"
agm4zbcx,FIP,"Feline infectious peritonitis"
agm4zbcx,FCoV,"feline coronavirus"
agm4zbcx,ORF,"open reading frame"
n3l2n9wt,PrIISM,"Precision Immunology Institute at the Icahn School of Medicine"
q5ij90hu,WIV,"whole inactivated influenza vaccine"
q5ij90hu,LAIV,"live attenuated influenza vaccine"
q5ij90hu,SARS,"severe acute respiratory syndrome"
q5ij90hu,WIV,"whole inactivated influenza vaccine"
q5ij90hu,HA,"hemagglutinin"
q5ij90hu,SFD,"Spray-freeze drying"
q5ij90hu,DLS,"Dynamic Light Scattering"
q5ij90hu,TEM,"Transmission electron microscopy"
q5ij90hu,SEM,"scanning electron microscopy"
q5ij90hu,Advax,"Advax 1:100"
q5ij90hu,Pul Liq,"pulmonary administration of liquid vaccines"
q5ij90hu,BAL,"bronchioalveolar lavages"
q5ij90hu,HI,"Hemagglutination inhibition"
q5ij90hu,MN,"Microneutralization assay"
q5ij90hu,ASC,"antibody secreting cells"
q5ij90hu,NBT,"(BCIP)/nitro blue tetrazolium"
q5ij90hu,AEC,"3-amino-9- ethylcarbazole"
q5ij90hu,reader,"reader, Hannover, Germany"
q5ij90hu,FACS,"fluorescence-activated cell sorting"
q5ij90hu,Fig. 1D,"Fig. 1C) and SFD Advax-adjuvanted WIV formulations"
q5ij90hu,IgM/IgD,"IgM/IgD− class switched cells"
q5ij90hu,TRM,"Tissue resident memory T cells"
uapxlnib,FSI,"Flos Sophorae Immaturus"
uapxlnib,YPS,"Yupingfeng san"
uapxlnib,DPPH,"1,1-diphenyl-1-picrylhydrazyl"
uapxlnib,ROS,"reactive oxygen species"
uapxlnib,TCMs,"Traditional Chinese medicines"
uapxlnib,FSI,"Flos Sophorae Immaturus"
uapxlnib,YPS,"Yupingfeng san"
uapxlnib,MYP,"modified YPS"
uapxlnib,SOD,"Superoxide dismutase"
uapxlnib,MDA,"malondialdehyde"
uapxlnib,T-AOC,"total antioxidant capacity"
uapxlnib,NC,"normal control"
uapxlnib,CAT,"catalase"
uv978oxl,rAM,"Resident alveolar macrophages"
uv978oxl,rDC,"resident dendritic cells"
uv978oxl,rNK,"resident NK cells"
uv978oxl,mbIL21,"membrane bound IL-21"
uv978oxl,ORR,"overall response rate"
ygq2hlj1,PPE,"protective equipment"
ygq2hlj1,CDC,"Center for Disease Control and Prevention"
y81k3wc0,ARIs,"acute respiratory infections"
y81k3wc0,HBoV,"human bocavirus"
y81k3wc0,RSV,"respiratory syncytial virus"
y81k3wc0,PIV,"parainfluenza viruses"
ocbygkyb,ADCC,"antibody-dependent cell-mediated cytotoxicity"
ocbygkyb,HA,"hemagglutinin"
ocbygkyb,HA,"hemagglutinin"
ocbygkyb,ADCC,"Antibody-dependent cell-mediated cytotoxicity"
ocbygkyb,NK,"Natural killer"
ocbygkyb,IFN-γ,"interferon-γ"
ocbygkyb,TNF-α,"tumor necrosis factor-α"
ocbygkyb,FBS,"fetal bovine serum"
ocbygkyb,P/S,"penicillin, and 50 μg/ml streptomycin"
ocbygkyb,PBMCs,"Peripheral blood mononuclear cells"
ocbygkyb,Roche,"reverse transcribed with Transcriptor First Strand cDNA Synthesis Kit"
ocbygkyb,E1,"E2 (Figure 1B"
ocbygkyb,FcR,"Fc receptor"
ocbygkyb,Figure 6N,"Figure 6M) and mRNA"
uz8af9lj,TTP,"thrombocytopenic purpura"
uz8af9lj,ITP,"immune thrombocytopenic purpura"
uz8af9lj,g/dl,"g/dl"
uz8af9lj,mg/dl,"mg/dl) (Table 1"
uz8af9lj,DNA,"deoxyribonucleic acid"
uz8af9lj,TSH,"thyroid-stimulating hormone"
uz8af9lj,ARDS,"acute respiratory distress syndrome"
uz8af9lj,PEX,"plasma exchange"
uz8af9lj,DITMA,"Drug-induced thrombotic microangiopathy"
9wxa6jcl,HIV,"human immunodeficiency virus"
9wxa6jcl,SARS,"severe acute respiratory syndrome"
0gg9fm7x,ECSC,"European Coal and Steel Community"
0gg9fm7x,EEC,"European Economic Community"
0gg9fm7x,Euratom,"European Atomic Energy Community"
0gg9fm7x,TEU,"Treaty on European Union"
0gg9fm7x,EFSM,"European Fiscal Stability Mechanism"
0gg9fm7x,ESM,"European Stability Mechanism"
0gg9fm7x,GWP,"gross world product"
0gg9fm7x,EIB,"European Investment Bank"
0gg9fm7x,SURE,"Support to Mitigate Unemployment Risks in Emergency"
0gg9fm7x,IMF,"International Monetary Fund"
0gg9fm7x,WB,"World Bank"
p493tr5u,SNPs,"single-nucleotide polymorphisms"
p493tr5u,ISGs,"IFN-stimulated genes"
p493tr5u,CMV,"cytomegalovirus"
p493tr5u,PBMCs,"peripheral blood mononuclear cells"
p493tr5u,HCV,"hepatitis C virus"
p493tr5u,CT/TT,"concluded that the minor alleles of SNPs rs12979860"
p493tr5u,LCMV,"lymphocytic choriomeningitis virus"
p493tr5u,ii,"ISG expression and"
p493tr5u,TSP,"myelopathy/tropical spastic paraparesis"
se5xtmul,One Health,"of human, animal, and environmental health"
se5xtmul,sap,"sap"
se5xtmul,WHO,"World Health Organization"
se5xtmul,SEARO,"Southeast Asia Regional Office"
se5xtmul,UPP,"urban pneumonic plague"
se5xtmul,virus,"very closely related henipavirus"
se5xtmul,MERS-CoV,"Middle East respiratory syndrome coronavirus"
se5xtmul,CEPI,"Coalition for Epidemic Preparedness Innovations"
se5xtmul,PPE,"protective equipment"
3az13h1h,concern,"Concern"
3az13h1h,values,"Value Questionnaire39 scale Benevolence"
3az13h1h,points,"points = 1 Euro"
1d1gw63o,LTC,"long-term care"
1d1gw63o,LTC,"Long-term care"
1d1gw63o,PCR,"polymerase chain reaction"
1d1gw63o,OR,"odds ratio"
1d1gw63o,CI,"confidence interval"
1d1gw63o,PPE,"protective equipment"
d65r6q69,HBV,"hepatitis B virus"
d65r6q69,OR,"odds ratio"
d65r6q69,CI,"confidence interval"
d65r6q69,HBV,"hepatitis B virus"
d65r6q69,IFN-γ,"Interferon-γ"
d65r6q69,SNP,"single nucleotide polymorphism"
d65r6q69,HCV,"hepatitis C virus"
d65r6q69,CNKI,"China National Knowledge Infrastructure"
d65r6q69,searched,"search was updated in July 2013"
d65r6q69,HCs,"healthy controls"
d65r6q69,HBsAg,"HBV surface antigen"
d65r6q69,anti-HBs,"antigen (HBsAg) was negative but HBV surface antibody"
d65r6q69,anti-HBc,"anti-HBs) and/or HBV core antibody"
d65r6q69,antibody,"antibody (anti-HBc"
d65r6q69,SLCs,"self-limiting infection controls"
d65r6q69,PIs,"persistent HBV infection cases"
d65r6q69,OR,"odds ratio"
d65r6q69,CI,"confidence interval"
d65r6q69,HWE,"Hardy-Weinberg equilibrium"
d65r6q69,NF-κB,"nuclear factor-κB"
d65r6q69,ISGs,"IFN-stimulated genes"
9e5ajbgq,WHO,"World Health Organization"
9e5ajbgq,FDI,"Fédération Dentaire Internationale"
9e5ajbgq,MERS-cov,"Middle East respiratory syndrome-corona virus"
9e5ajbgq,SD,"standard deviations"
9e5ajbgq,test,"tests for smaller samples"
9e5ajbgq,uOR,"unadjusted odds ratios"
9e5ajbgq,aOR,"adjusted odds ratios"
9e5ajbgq,ratios,"ratios (aOR"
9e5ajbgq,OR,"odds ratio"
blwguyl4,WHO,"World Health Organization"
blwguyl4,WHO,"World Health Organization"
blwguyl4,IPCC,"Intergovernmental Panel on Climate Change"
blwguyl4,time,"times during the incubation period"
blwguyl4,LPG,"liquefied petroleum gas"
blwguyl4,DNA,"Deoxyribonucleic acid"
